"district","date","variable","value"
"45",1980-06-01,"eddi3",-0.447328165173531
"47",1980-06-01,"eddi3",-1.7509757362563
"48",1980-06-01,"eddi3",-1.32937088012695
"49",1980-06-01,"eddi3",-1.2796723190695
"5",1980-06-01,"eddi3",-1.59748105704784
"50",1980-06-01,"eddi3",-2.08748626708984
"51",1980-06-01,"eddi3",-1.63862600326538
"52",1980-06-01,"eddi3",-0.779427972104814
"53",1980-06-01,"eddi3",-1.31873245750155
"54",1980-06-01,"eddi3",-2.08748626708984
"55",1980-06-01,"eddi3",-2.01424516240756
"56",1980-06-01,"eddi3",-1.74365551982607
"57",1980-06-01,"eddi3",-2.08748626708984
"58",1980-06-01,"eddi3",-2.05563869476318
"59",1980-06-01,"eddi3",-1.08664973576864
"6",1980-06-01,"eddi3",-1.5680918097496
"60",1980-06-01,"eddi3",-1.12259001970291
"61",1980-06-01,"eddi3",-1.27594363689423
"62",1980-06-01,"eddi3",-0.845817015171051
"63",1980-06-01,"eddi3",-1.21257966094547
"64",1980-06-01,"eddi3",-1.61847337654659
"65",1980-06-01,"eddi3",-1.44973499847181
"66",1980-06-01,"eddi3",-1.18007145987617
"67",1980-06-01,"eddi3",-1.26892640300699
"68",1980-06-01,"eddi3",-0.606059063564647
"69",1980-06-01,"eddi3",-1.39280290603638
"7",1980-06-01,"eddi3",-1.47404621839523
"70",1980-06-01,"eddi3",-0.953123101166316
"71",1980-06-01,"eddi3",-1.48350213921588
"72",1980-06-01,"eddi3",-0.508790489700105
"73",1980-06-01,"eddi3",-1.05612864096959
"76",1980-06-01,"eddi3",-1.68564879894257
"77",1980-06-01,"eddi3",-1.13488571345806
"78",1980-06-01,"eddi3",-1.49735836187998
"79",1980-06-01,"eddi3",-0.611010079582532
"8",1980-06-01,"eddi3",-1.30157214403152
"80",1980-06-01,"eddi3",-1.37117519161918
"9",1980-06-01,"eddi3",-1.54458041191101
"1",1980-07-01,"eddi3",-0.424154928544673
"10",1980-07-01,"eddi3",-0.232457045246573
"11",1980-07-01,"eddi3",0.259168663024902
"12",1980-07-01,"eddi3",0.0779024087465726
"13",1980-07-01,"eddi3",0.173557890786065
"14",1980-07-01,"eddi3",-0.299629506857499
"15",1980-07-01,"eddi3",-0.0968538880348206
"16",1980-07-01,"eddi3",0.0123818715413411
"17",1980-07-01,"eddi3",-0.448001356422901
"18",1980-07-01,"eddi3",-0.143357174737113
"19",1980-07-01,"eddi3",-0.382301493566863
"2",1980-07-01,"eddi3",-0.524122432867686
"20",1980-07-01,"eddi3",0.68597205938437
"21",1980-07-01,"eddi3",0.553917610645294
"22",1980-07-01,"eddi3",0.374652276436488
"23",1980-07-01,"eddi3",0.111030638217926
"24",1980-07-01,"eddi3",0.0639080901940664
"25",1980-07-01,"eddi3",0.205821718488421
"26",1980-07-01,"eddi3",0.263517510890961
"27",1980-07-01,"eddi3",0.456490069627762
"28",1980-07-01,"eddi3",0.329344034194946
"29",1980-07-01,"eddi3",0.115148190941129
"3",1980-07-01,"eddi3",-0.147775371869405
"30",1980-07-01,"eddi3",-0.553216736567648
"31",1980-07-01,"eddi3",-0.682787746191025
"32",1980-07-01,"eddi3",-1.13883736572768
"33",1980-07-01,"eddi3",-1.90550013950893
"34",1980-07-01,"eddi3",-1.64025468826294
"35",1980-07-01,"eddi3",0.361326687476214
"36",1980-07-01,"eddi3",-0.0301810055971146
"37",1980-07-01,"eddi3",0.615432164248298
"38",1980-07-01,"eddi3",0.604195120433966
"39",1980-07-01,"eddi3",0.35107833147049
"4",1980-07-01,"eddi3",0.0152568300565084
