Date,36_AGG_IrrigDemand,36_AGG_IrrigSupply,36_AGG_IrrigShortage,36_AGG_IrrigSupDirectFlow,36_AGG_MunDemand,36_AGG_MunSupply,36_AGG_MunShortage,36_ADC017_IrrigDemand,36_ADC018_IrrigDemand,36_ADC019_IrrigDemand,36_ADC017_IrrigSupply,36_ADC018_IrrigSupply,36_ADC019_IrrigSupply,36_ADC017_IrrigShortage,36_ADC018_IrrigShortage,36_ADC019_IrrigShortage,36_ADC017_IrrigSupDirectFlow,36_ADC018_IrrigSupDirectFlow,36_ADC019_IrrigSupDirectFlow,3600649_D_IrrigDemand,3600649_D_IrrigSupply,3600649_D_IrrigShortage,3600649_D_IrrigSupDirectFlow,3600662_D_IrrigDemand,3600662_D_IrrigSupply,3600662_D_IrrigShortage,3600662_D_IrrigSupDirectFlow,3600776_D_IrrigDemand,3600776_D_IrrigSupply,3600776_D_IrrigShortage,3600776_D_IrrigSupDirectFlow,3600868_D_IrrigDemand,3600868_D_IrrigSupply,3600868_D_IrrigShortage,3600868_D_IrrigSupDirectFlow,36_KeyMun_MunDemand,36_KeyMun_MunSupply,36_KeyMun_MunShortage
1974-03,185.0000,185.0000,0.0000,185.0000,35.0000,35.0000,0.0000,18.0000,1.0000,4.0000,18.0000,1.0000,4.0000,0.0000,0.0000,0.0000,18.0000,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.0000,162.0000,0.0000,162.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0000
1974-04,946.0000,950.7543,0.0000,946.0000,26.0000,26.0000,.0000,85.0000,73.0000,450.0000,89.7543,73.0000,450.0000,0.0000,0.0000,0.0000,85.0000,73.0000,450.0000,0.0000,0.0000,0.0000,0.0000,182.0000,182.0000,0.0000,182.0000,141.0000,141.0000,0.0000,141.0000,15.0000,15.0000,0.0000,15.0000,26.0000,26.0000,.0000
1974-05,11207.0000,11207.0000,0.0000,11207.0000,29.0000,29.0000,.0000,1903.0000,1312.0000,1889.0000,1903.0000,1312.0000,1889.0000,0.0000,0.0000,0.0000,1903.0000,1312.0000,1889.0000,1345.0000,1345.0000,0.0000,1345.0000,3467.0000,3467.0000,0.0000,3467.0000,820.0000,820.0000,0.0000,820.0000,471.0000,471.0000,0.0000,471.0000,29.0000,29.0000,.0000
1974-06,19948.9995,19948.9998,0.0000,19948.9998,46.0000,46.0000,0.0000,5644.9995,3212.0000,2217.0000,5644.9995,3212.0000,2217.0000,0.0000,0.0000,0.0000,5644.9995,3212.0000,2217.0000,3311.0000,3311.0002,0.0000,3311.0002,3620.0000,3620.0000,0.0000,3620.0000,1122.0000,1122.0000,0.0000,1122.0000,822.0000,822.0000,0.0000,822.0000,46.0000,46.0000,0.0000
1974-07,17564.9996,17564.9996,0.0000,17564.9996,67.0000,67.0000,0.0000,6318.9995,2992.0000,1291.0000,6318.9995,2992.0000,1291.0000,0.0000,0.0000,0.0000,6318.9995,2992.0000,1291.0000,3266.0002,3266.0002,0.0000,3266.0002,1908.9999,1908.9999,0.0000,1908.9999,918.0000,918.0000,0.0000,918.0000,870.0000,870.0000,0.0000,870.0000,67.0000,67.0000,0.0000
1974-08,10226.0000,10191.9200,70.0000,10156.0000,47.0000,47.0000,0.0000,4029.0000,1756.0000,652.0000,4029.0000,1756.0000,687.9200,0.0000,0.0000,0.0000,4029.0000,1756.0000,652.0000,1579.0000,1579.0000,0.0000,1579.0000,930.0000,930.0000,0.0000,930.0000,722.0000,722.0000,0.0000,722.0000,558.0000,488.0000,70.0000,488.0000,47.0000,47.0000,0.0000
1974-09,4635.0001,4408.0000,254.0000,4381.0001,31.0000,31.0000,.0000,1821.0000,783.0000,450.0000,1821.0000,783.0000,477.0000,0.0000,0.0000,0.0000,1821.0000,783.0000,450.0000,623.0000,419.0000,204.0000,419.0000,295.0000,295.0000,0.0000,295.0000,500.0000,500.0000,0.0000,500.0000,163.0000,113.0000,50.0000,113.0000,31.0000,31.0000,.0000
1974-10,2693.9999,2703.8999,0.0000,2561.9999,22.0000,22.0000,.0000,1008.9999,471.0000,165.0000,1008.9999,471.0000,174.9000,0.0000,0.0000,0.0000,1008.9999,471.0000,165.0000,417.0000,417.0000,0.0000,417.0000,132.0000,132.0000,0.0000,0.0000,400.0000,400.0000,0.0000,400.0000,100.0000,100.0000,0.0000,100.0000,22.0000,22.0000,.0000
1974-11,0.0000,0.0000,0.0000,0.0000,23.0000,23.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,23.0000,.0000
1974-12,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,.0000
1975-01,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000
1975-02,1.0000,1.0000,0.0000,1.0000,29.0000,29.0000,.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,.0000
1975-03,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0000
1975-04,144.0000,144.0000,0.0000,144.0000,26.0000,26.0000,.0000,9.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,135.0000,135.0000,0.0000,135.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,26.0000,.0000
